index,date,tweets,isRetweet,isDeleted,avg_sentiment_score,sum_sentiment_score,retweets,favorites,word_count,positive,negative,neutral,s&p_%change,s&p_up/down
0,2016-11-08,17,4,0,5.855472404331779,915.4399999999999,522435,1118266,908,12,0,4,0.004526056073952187,up
1,2016-11-09,3,1,0,5.599523809523809,156.98,227982,700580,163,2,0,1,0.014871713731993913,up
2,2016-11-10,1,0,0,6.65,39.9,36535,142625,32,1,0,0,-4.618245088165623e-06,down
3,2016-11-11,5,0,0,5.826134115884116,355.76,193625,832596,351,4,0,1,0.0008045415387995407,up
4,2016-11-15,2,0,0,5.873653846153847,146.83999999999997,69857,254719,144,2,0,0,0.005580366916955638,up
5,2016-11-16,5,0,0,5.511604395604396,345.98,105122,394545,368,3,0,2,-0.00027098960388202454,down
6,2016-11-17,1,0,0,6.035384615384616,78.46000000000002,16969,80424,77,1,0,0,0.0039061647481838384,up
7,2016-11-18,4,1,1,5.901201298701299,294.25999999999993,92205,340844,288,3,0,1,-0.0022636192597412213,down
8,2016-11-21,1,0,0,5.848,29.24,33496,84745,29,1,0,0,0.005374057420285993,up
9,2016-11-22,10,0,0,5.486980952380952,572.58,119460,518751,607,5,1,4,0.0006267746339052655,up
10,2016-11-23,1,0,0,5.3693333333333335,80.53999999999998,22444,112344,86,0,0,1,0.0028063595835839178,up
11,2016-11-28,3,0,0,5.649823232323232,149.21,55429,209415,159,2,0,1,-0.003841259495617681,down
12,2016-11-29,12,1,0,5.23994702982203,598.6800000000001,176332,635008,665,3,2,7,0.0017720705493917582,up
13,2016-11-30,11,1,0,5.72101849665486,674.1800000000001,125233,490073,687,8,1,2,-0.002793648929924623,down
14,2016-12-01,4,0,0,5.79423717948718,255.5,32086,184796,259,4,0,0,-0.0041314281724828,down
15,2016-12-02,1,0,0,6.370909090909091,70.08,13979,60680,63,1,0,0,0.0003787259281503206,up
16,2016-12-05,3,0,0,5.558319327731092,135.84000000000003,59229,229824,148,2,0,1,0.001844936350988877,up
17,2016-12-06,5,0,0,5.7605881118881115,249.72,84264,312721,250,4,1,0,0.0022516468279602927,up
18,2016-12-07,4,0,0,5.987749999999999,162.62,30337,144246,159,3,0,1,0.013855272219821052,up
19,2016-12-08,5,0,0,5.8098212454212455,316.42,45454,202569,324,4,0,1,0.002257815594885128,up
20,2016-12-09,3,0,0,5.8846464646464645,149.42,19034,83114,152,3,0,0,0.004356100104066687,up
21,2016-12-12,7,0,0,5.616055729984303,387.5,101067,376357,405,5,0,2,-0.0008279139799908121,down
22,2016-12-13,8,0,0,5.8476984126984135,505.18000000000006,88986,368078,509,7,0,1,0.003711319100980107,up
23,2016-12-14,3,1,0,5.9176190476190484,148.94000000000005,21830,83190,145,3,0,0,-0.006643625696618493,down
24,2016-12-15,5,0,0,5.499993162393162,264.4,62724,246927,285,3,2,0,0.003664974210634003,up
25,2016-12-16,4,0,0,6.066165674603175,210.79,53236,202035,201,4,0,0,-0.003855634469813299,down
26,2016-12-19,2,0,0,5.543557692307692,114.02000000000001,77163,279182,123,1,0,1,0.001456259190950307,up
27,2016-12-20,6,1,0,5.806697191697192,355.34,62289,258418,346,5,1,0,0.0018795543789984406,up
28,2016-12-21,3,0,0,5.713333333333334,211.67999999999998,38776,168375,214,2,0,1,-0.0023607189954512717,down
29,2016-12-22,5,0,0,5.613878787878788,309.46,62326,255287,319,3,0,2,-0.0008705399898347303,down
30,2016-12-23,6,0,0,5.149285714285714,353.01,103274,369998,402,2,2,2,0.0015662156841057312,up
31,2016-12-27,3,0,0,5.785128205128206,225.62,44634,198224,227,2,0,1,0.001169300125488385,up
32,2016-12-28,5,0,0,5.6868180290297925,314.32,102814,392180,321,4,0,1,-0.008946255744539161,down
33,2016-12-29,1,0,0,5.3933333333333335,32.36,8972,37533,35,0,0,1,-0.00010668593020672789,down
34,2016-12-30,3,0,0,6.027354497354498,132.06,51727,168324,128,3,0,0,-0.005675951160579869,down
35,2017-01-03,10,0,0,5.608324404761905,546.85,116627,480914,564,5,0,5,0.0027802865604624684,up
