index,month,tweets,isRetweet,isDeleted,avg_sentiment_score,sum_sentiment_score,delta_avg,retweets,favorites,word_count,positive,negative,neutral,gspc_change,gspc_up_down
0,2016-12-01,140,11,1,5.7898081699181985,8038.02,0.033724075630136456,1956286,7467975,8174,102,9,28,0.017571441011636515,up
1,2017-01-01,212,5,2,5.604844697936024,12097.929999999998,-0.15123939635204295,3626958,17156762,12673,118,24,70,0.012124894262895486,up
2,2017-02-01,153,1,7,5.55182889388733,8518.979999999998,-0.20425520040073267,2784536,13958598,9001,79,29,44,0.03414864520536025,up
3,2017-03-01,152,13,9,5.694078086286306,8317.0,-0.06200600800175715,2112539,9328782,8605,97,12,42,-0.007314689893332861,down
4,2017-04-01,146,13,6,5.6960056955609994,8166.450000000001,-0.06007839872706513,1631378,7374391,8465,91,13,38,0.00925347840941356,up
5,2017-05-01,158,11,11,5.680609465729703,8274.339999999998,-0.07547462855835521,2141622,8482273,8518,89,14,50,0.009755096922754844,up
6,2017-06-01,218,35,8,5.580882992344823,12271.129999999992,-0.17520110194324226,3359140,13281278,12939,110,30,74,0.0032123901702706113,up
7,2017-07-01,237,18,5,5.657990221033146,13950.080000000002,-0.0980938732549235,3901706,16032899,14478,145,22,66,0.016003256455092908,up
8,2017-08-01,271,69,19,5.599996451222666,15897.900000000007,-0.1560876430653913,3644015,13994547,16598,167,30,72,-0.00220023244292802,down
9,2017-09-01,307,58,14,5.6896971416001785,17994.370000000003,-0.06638695268788139,4028612,16404887,18593,196,30,77,0.018161907201133472,up
10,2017-10-01,297,34,8,5.641830495649262,16524.219999999998,-0.11425359863880616,3763660,16469613,17356,161,32,100,0.021442194213337862,up
11,2017-11-01,255,25,11,5.680137158005792,18811.33,-0.0759469362822726,3892479,15900901,19559,149,27,78,0.0006310470401596219,up
12,2017-12-01,193,23,3,5.634397949809294,17169.70999999999,-0.12168614447876813,3267414,13701878,17973,106,18,69,0.01077842347877758,up
13,2018-01-01,205,21,3,5.637876684462882,19431.550000000014,-0.11820740982517733,3973863,16694925,20120,114,14,77,0.0521960406016703,up
14,2018-02-01,178,9,1,5.5598880322641175,16904.520000000004,-0.19619606202394627,3164590,14027295,17680,99,20,59,-0.036435894400880166,down
15,2018-03-01,169,7,5,5.6831871683331245,15445.619999999994,-0.07289692595494088,2777362,12260644,16151,97,11,60,-0.027382626378008326,down
