index,month,tweets,isRetweet,isDeleted,avg_sentiment_score,sum_sentiment_score,delta_avg,retweets,favorites,word_count,positive,negative,neutral,s&p_%change,s&p_up/down
0,2016-12-01,6,1,0,5.67899333999334,331.4,0.14403275626513778,56270,225011,345,4,1,1,0.017571441011636515,up
1,2017-01-01,6,0,0,5.533249593543712,434.94,-0.00171099018449139,138407,597482,454,3,0,3,0.012124894262895486,up
2,2017-02-01,9,0,0,5.355419108669108,638.5400000000001,-0.1795414750590938,191814,894968,688,4,2,3,0.03414864520536025,up
3,2017-03-01,10,0,1,5.500236363636363,620.86,-0.034724220091838995,158872,722048,656,5,0,5,-0.007314689893332861,down
4,2017-04-01,10,1,0,5.151696243952126,618.0,-0.3832643397760764,108465,466597,693,0,3,7,0.00925347840941356,up
5,2017-05-01,6,0,0,5.28368265993266,319.41999999999996,-0.25127792379554253,62942,277794,348,1,2,3,0.009755096922754844,up
6,2017-06-01,13,3,2,5.379411876584954,883.36,-0.15554870714324875,252868,925451,961,5,1,7,0.0032123901702706113,up
7,2017-07-01,24,2,1,5.663161844691257,1644.87,0.12820126096305415,406119,1695405,1679,16,1,7,0.016003256455092908,up
8,2017-08-01,18,8,2,5.4531784665951335,1134.5300000000002,-0.08178211713306949,236001,717977,1199,10,3,5,-0.00220023244292802,down
9,2017-09-01,16,2,2,5.602330216658341,1099.4,0.06736963293013898,187531,918200,1135,10,0,6,0.018161907201133472,up
10,2017-10-01,28,6,1,5.363511890886891,1528.9400000000003,-0.17144869284131148,372490,1546509,1647,7,5,16,0.021442194213337862,up
11,2017-11-01,36,2,0,5.467929946465082,3264.940000000001,-0.06703063726312102,565004,2511010,3488,16,3,17,0.0006310470401596219,up
12,2017-12-01,33,4,0,5.522220674491729,3515.4,-0.012739909236472774,521042,2290714,3720,15,0,18,0.01077842347877758,up
13,2018-01-01,50,2,1,5.53888667390789,5700.749999999998,0.003926090179687361,980600,4484322,5955,24,2,24,0.0521960406016703,up
14,2018-02-01,18,0,0,5.5021590991313225,2042.0600000000002,-0.03280148459688132,343799,1574942,2150,9,0,9,-0.036435894400880166,down
15,2018-03-01,24,0,0,5.422641315327184,2608.5,-0.11231926840101754,435907,1929268,2773,11,3,10,-0.027382626378008326,down
16,2018-04-01,23,0,0,5.301710406470236,2341.1400000000003,-0.23325017725796612,473451,2030768,2540,8,4,11,0.005544095491336675,up
17,2018-05-01,23,0,0,5.525360785053326,2627.86,-0.009599798674874835,421961,1858194,2770,13,2,8,0.02357586188192728,up
18,2018-06-01,46,5,3,5.501561573897928,4578.43,-0.03339900983027534,729721,3207092,4877,21,2,23,-0.00012132048624135359,down
19,2018-07-01,21,3,0,5.515636076943642,2237.29,-0.019324506784559454,371278,1565899,2334,11,0,10,0.04116160742968213,up
20,2018-08-01,36,2,2,5.680047435052382,4217.7,0.14508685132417953,598559,2566522,4351,24,0,12,0.028481126703292524,up
21,2018-09-01,31,7,1,5.436208692161581,3464.03,-0.09875189156662174,454665,1682304,3689,13,0,18,0.005875130905891056,up
22,2018-10-01,19,0,0,5.608829498869724,1599.1900000000003,0.07386891514152265,253946,1071674,1664,14,2,3,-0.07331810795942771,down
23,2018-11-01,19,5,2,5.456752987969806,1776.17,-0.07820759575839659,304431,1107233,1894,9,1,9,0.015671973880285447,up
24,2018-12-01,80,1,5,5.49094128394689,9838.69,-0.044019299781314955,1690235,7620784,10357,38,2,40,-0.10164841497939442,down
25,2019-01-01,97,11,3,5.380719276590406,9945.030000000004,-0.1542413071377986,2201999,9395993,10674,38,17,42,0.09170117425244884,up
26,2019-02-01,30,3,2,5.521666663901556,2880.5399999999995,-0.01329391982664599,641766,2856991,3032,12,0,18,0.03040717603108147,up
